group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_8,rrbvec,20000,,,49240220.0,ns,52
words_map_with_thread_num_8,rrbvec,20000,,,97466324.0,ns,104
words_map_with_thread_num_8,rrbvec,20000,,,148838462.0,ns,156
words_map_with_thread_num_8,rrbvec,20000,,,197161712.0,ns,208
words_map_with_thread_num_8,rrbvec,20000,,,247896624.0,ns,260
words_map_with_thread_num_8,rrbvec,20000,,,296427842.0,ns,312
words_map_with_thread_num_8,rrbvec,20000,,,346431308.0,ns,364
words_map_with_thread_num_8,rrbvec,20000,,,403021321.0,ns,416
words_map_with_thread_num_8,rrbvec,20000,,,450858141.0,ns,468
words_map_with_thread_num_8,rrbvec,20000,,,500174014.0,ns,520
