group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
words_map_with_thread_num_8,rrbvec,300000,,,39360649.0,ns,6
words_map_with_thread_num_8,rrbvec,300000,,,80031229.0,ns,12
words_map_with_thread_num_8,rrbvec,300000,,,118507600.0,ns,18
words_map_with_thread_num_8,rrbvec,300000,,,156065659.0,ns,24
words_map_with_thread_num_8,rrbvec,300000,,,198204745.0,ns,30
words_map_with_thread_num_8,rrbvec,300000,,,230897663.0,ns,36
words_map_with_thread_num_8,rrbvec,300000,,,274782245.0,ns,42
words_map_with_thread_num_8,rrbvec,300000,,,317682896.0,ns,48
words_map_with_thread_num_8,rrbvec,300000,,,356303511.0,ns,54
words_map_with_thread_num_8,rrbvec,300000,,,394109464.0,ns,60
