group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,im-rs-vector-relaxed,2000,,,43374013.0,ns,1695
append,im-rs-vector-relaxed,2000,,,84866716.0,ns,3390
append,im-rs-vector-relaxed,2000,,,126957623.0,ns,5085
append,im-rs-vector-relaxed,2000,,,170485025.0,ns,6780
append,im-rs-vector-relaxed,2000,,,214972475.0,ns,8475
append,im-rs-vector-relaxed,2000,,,271319591.0,ns,10170
append,im-rs-vector-relaxed,2000,,,311881332.0,ns,11865
append,im-rs-vector-relaxed,2000,,,355066030.0,ns,13560
append,im-rs-vector-relaxed,2000,,,401466907.0,ns,15255
append,im-rs-vector-relaxed,2000,,,456922373.0,ns,16950
