group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,pvec-rrbvec-relaxed,6000,,,30115743.0,ns,794
append,pvec-rrbvec-relaxed,6000,,,60157868.0,ns,1588
append,pvec-rrbvec-relaxed,6000,,,91058891.0,ns,2382
append,pvec-rrbvec-relaxed,6000,,,123074497.0,ns,3176
append,pvec-rrbvec-relaxed,6000,,,154673720.0,ns,3970
append,pvec-rrbvec-relaxed,6000,,,188633479.0,ns,4764
append,pvec-rrbvec-relaxed,6000,,,223758573.0,ns,5558
append,pvec-rrbvec-relaxed,6000,,,257184999.0,ns,6352
append,pvec-rrbvec-relaxed,6000,,,289233337.0,ns,7146
append,pvec-rrbvec-relaxed,6000,,,316935584.0,ns,7940
