group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,std-vec,10000,,,26045781.0,ns,1951
append,std-vec,10000,,,55385062.0,ns,3902
append,std-vec,10000,,,83399274.0,ns,5853
append,std-vec,10000,,,112704104.0,ns,7804
append,std-vec,10000,,,143181403.0,ns,9755
append,std-vec,10000,,,167748173.0,ns,11706
append,std-vec,10000,,,195225345.0,ns,13657
append,std-vec,10000,,,238827821.0,ns,15608
append,std-vec,10000,,,272616234.0,ns,17559
append,std-vec,10000,,,302454682.0,ns,19510
