group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
append,std-vec,800,,,22708839.0,ns,10295
append,std-vec,800,,,51128669.0,ns,20590
append,std-vec,800,,,76069797.0,ns,30885
append,std-vec,800,,,103989384.0,ns,41180
append,std-vec,800,,,124869767.0,ns,51475
append,std-vec,800,,,156019042.0,ns,61770
append,std-vec,800,,,187940547.0,ns,72065
append,std-vec,800,,,219129465.0,ns,82360
append,std-vec,800,,,242037888.0,ns,92655
append,std-vec,800,,,276797538.0,ns,102950
