group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,im-rs-vector-balanced,400000,,,78719709.0,ns,3
index_randomly,im-rs-vector-balanced,400000,,,157351180.0,ns,6
index_randomly,im-rs-vector-balanced,400000,,,235519672.0,ns,9
index_randomly,im-rs-vector-balanced,400000,,,315391625.0,ns,12
index_randomly,im-rs-vector-balanced,400000,,,399013265.0,ns,15
index_randomly,im-rs-vector-balanced,400000,,,472792033.0,ns,18
index_randomly,im-rs-vector-balanced,400000,,,566558049.0,ns,21
index_randomly,im-rs-vector-balanced,400000,,,644270315.0,ns,24
index_randomly,im-rs-vector-balanced,400000,,,709465581.0,ns,27
index_randomly,im-rs-vector-balanced,400000,,,787938398.0,ns,30
