group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,pvec-rrbvec-relaxed,20000,,,64623682.0,ns,110
index_randomly,pvec-rrbvec-relaxed,20000,,,124945317.0,ns,220
index_randomly,pvec-rrbvec-relaxed,20000,,,188565327.0,ns,330
index_randomly,pvec-rrbvec-relaxed,20000,,,256273428.0,ns,440
index_randomly,pvec-rrbvec-relaxed,20000,,,325580421.0,ns,550
index_randomly,pvec-rrbvec-relaxed,20000,,,395228483.0,ns,660
index_randomly,pvec-rrbvec-relaxed,20000,,,465698981.0,ns,770
index_randomly,pvec-rrbvec-relaxed,20000,,,536146270.0,ns,880
index_randomly,pvec-rrbvec-relaxed,20000,,,603338108.0,ns,990
index_randomly,pvec-rrbvec-relaxed,20000,,,671538533.0,ns,1100
