group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rbvec,20,,,76482183.0,ns,251019
index_randomly,rbvec,20,,,126477434.0,ns,502038
index_randomly,rbvec,20,,,188819015.0,ns,753057
index_randomly,rbvec,20,,,245992786.0,ns,1004076
index_randomly,rbvec,20,,,322171667.0,ns,1255095
index_randomly,rbvec,20,,,367175043.0,ns,1506114
index_randomly,rbvec,20,,,431498548.0,ns,1757133
index_randomly,rbvec,20,,,486079175.0,ns,2008152
index_randomly,rbvec,20,,,556339389.0,ns,2259171
index_randomly,rbvec,20,,,614225538.0,ns,2510190
