group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rbvec,8000,,,37877098.0,ns,402
index_randomly,rbvec,8000,,,73782280.0,ns,804
index_randomly,rbvec,8000,,,114976778.0,ns,1206
index_randomly,rbvec,8000,,,171745236.0,ns,1608
index_randomly,rbvec,8000,,,223915680.0,ns,2010
index_randomly,rbvec,8000,,,266539950.0,ns,2412
index_randomly,rbvec,8000,,,318787723.0,ns,2814
index_randomly,rbvec,8000,,,370266601.0,ns,3216
index_randomly,rbvec,8000,,,430334140.0,ns,3618
index_randomly,rbvec,8000,,,475879392.0,ns,4020
