group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,rrbvec,100000,,,56663187.0,ns,22
index_randomly,rrbvec,100000,,,110327033.0,ns,44
index_randomly,rrbvec,100000,,,168965145.0,ns,66
index_randomly,rrbvec,100000,,,232904034.0,ns,88
index_randomly,rrbvec,100000,,,299043829.0,ns,110
index_randomly,rrbvec,100000,,,426862571.0,ns,132
index_randomly,rrbvec,100000,,,439058733.0,ns,154
index_randomly,rrbvec,100000,,,513623933.0,ns,176
index_randomly,rrbvec,100000,,,593535161.0,ns,198
index_randomly,rrbvec,100000,,,666290313.0,ns,220
