group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,std-vec,400000,,,61661183.0,ns,18
index_randomly,std-vec,400000,,,132105680.0,ns,36
index_randomly,std-vec,400000,,,219495638.0,ns,54
index_randomly,std-vec,400000,,,300090171.0,ns,72
index_randomly,std-vec,400000,,,375256510.0,ns,90
index_randomly,std-vec,400000,,,451333427.0,ns,108
index_randomly,std-vec,400000,,,529594426.0,ns,126
index_randomly,std-vec,400000,,,606820351.0,ns,144
index_randomly,std-vec,400000,,,678780076.0,ns,162
index_randomly,std-vec,400000,,,751144131.0,ns,180
