group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_randomly,std-vec,800,,,58823960.0,ns,9136
index_randomly,std-vec,800,,,107924822.0,ns,18272
index_randomly,std-vec,800,,,161757269.0,ns,27408
index_randomly,std-vec,800,,,216506959.0,ns,36544
index_randomly,std-vec,800,,,274104052.0,ns,45680
index_randomly,std-vec,800,,,348771454.0,ns,54816
index_randomly,std-vec,800,,,423948540.0,ns,63952
index_randomly,std-vec,800,,,488549269.0,ns,73088
index_randomly,std-vec,800,,,556447179.0,ns,82224
index_randomly,std-vec,800,,,618645511.0,ns,91360
