group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-balanced,10000,,,60048183.0,ns,247
index_sequentially,im-rs-vector-balanced,10000,,,117372177.0,ns,494
index_sequentially,im-rs-vector-balanced,10000,,,176597249.0,ns,741
index_sequentially,im-rs-vector-balanced,10000,,,235356804.0,ns,988
index_sequentially,im-rs-vector-balanced,10000,,,293426436.0,ns,1235
index_sequentially,im-rs-vector-balanced,10000,,,353945809.0,ns,1482
index_sequentially,im-rs-vector-balanced,10000,,,420116885.0,ns,1729
index_sequentially,im-rs-vector-balanced,10000,,,479647044.0,ns,1976
index_sequentially,im-rs-vector-balanced,10000,,,539609217.0,ns,2223
index_sequentially,im-rs-vector-balanced,10000,,,606741436.0,ns,2470
