group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-balanced,20000,,,60160901.0,ns,124
index_sequentially,im-rs-vector-balanced,20000,,,118934419.0,ns,248
index_sequentially,im-rs-vector-balanced,20000,,,178000967.0,ns,372
index_sequentially,im-rs-vector-balanced,20000,,,237707217.0,ns,496
index_sequentially,im-rs-vector-balanced,20000,,,299041883.0,ns,620
index_sequentially,im-rs-vector-balanced,20000,,,358188398.0,ns,744
index_sequentially,im-rs-vector-balanced,20000,,,425068643.0,ns,868
index_sequentially,im-rs-vector-balanced,20000,,,486423521.0,ns,992
index_sequentially,im-rs-vector-balanced,20000,,,549204882.0,ns,1116
index_sequentially,im-rs-vector-balanced,20000,,,618576804.0,ns,1240
