group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,im-rs-vector-relaxed,10000,,,48252203.0,ns,202
index_sequentially,im-rs-vector-relaxed,10000,,,95959390.0,ns,404
index_sequentially,im-rs-vector-relaxed,10000,,,143588114.0,ns,606
index_sequentially,im-rs-vector-relaxed,10000,,,193428967.0,ns,808
index_sequentially,im-rs-vector-relaxed,10000,,,239283611.0,ns,1010
index_sequentially,im-rs-vector-relaxed,10000,,,287749807.0,ns,1212
index_sequentially,im-rs-vector-relaxed,10000,,,336526022.0,ns,1414
index_sequentially,im-rs-vector-relaxed,10000,,,385767092.0,ns,1616
index_sequentially,im-rs-vector-relaxed,10000,,,437647057.0,ns,1818
index_sequentially,im-rs-vector-relaxed,10000,,,487350560.0,ns,2020
