group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,pvec-std,80,,,22097922.0,ns,98480
index_sequentially,pvec-std,80,,,31731439.0,ns,196960
index_sequentially,pvec-std,80,,,66563848.0,ns,295440
index_sequentially,pvec-std,80,,,84292730.0,ns,393920
index_sequentially,pvec-std,80,,,102189691.0,ns,492400
index_sequentially,pvec-std,80,,,124984121.0,ns,590880
index_sequentially,pvec-std,80,,,143531996.0,ns,689360
index_sequentially,pvec-std,80,,,164355145.0,ns,787840
index_sequentially,pvec-std,80,,,190115195.0,ns,886320
index_sequentially,pvec-std,80,,,225921363.0,ns,984800
