group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,rrbvec,80,,,15602261.0,ns,32174
index_sequentially,rrbvec,80,,,29190121.0,ns,64348
index_sequentially,rrbvec,80,,,43040016.0,ns,96522
index_sequentially,rrbvec,80,,,63754802.0,ns,128696
index_sequentially,rrbvec,80,,,76447334.0,ns,160870
index_sequentially,rrbvec,80,,,84431274.0,ns,193044
index_sequentially,rrbvec,80,,,103471964.0,ns,225218
index_sequentially,rrbvec,80,,,135194484.0,ns,257392
index_sequentially,rrbvec,80,,,149330589.0,ns,289566
index_sequentially,rrbvec,80,,,168635486.0,ns,321740
