group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,std-vec,100,,,8527744.0,ns,87181
index_sequentially,std-vec,100,,,14123272.0,ns,174362
index_sequentially,std-vec,100,,,21480533.0,ns,261543
index_sequentially,std-vec,100,,,29077820.0,ns,348724
index_sequentially,std-vec,100,,,36365764.0,ns,435905
index_sequentially,std-vec,100,,,43921147.0,ns,523086
index_sequentially,std-vec,100,,,51816339.0,ns,610267
index_sequentially,std-vec,100,,,60211853.0,ns,697448
index_sequentially,std-vec,100,,,67646708.0,ns,784629
index_sequentially,std-vec,100,,,77243824.0,ns,871810
