group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
index_sequentially,std-vec,40000,,,17421236.0,ns,566
index_sequentially,std-vec,40000,,,30647612.0,ns,1132
index_sequentially,std-vec,40000,,,46208256.0,ns,1698
index_sequentially,std-vec,40000,,,62066269.0,ns,2264
index_sequentially,std-vec,40000,,,77833969.0,ns,2830
index_sequentially,std-vec,40000,,,93922139.0,ns,3396
index_sequentially,std-vec,40000,,,110380972.0,ns,3962
index_sequentially,std-vec,40000,,,126022399.0,ns,4528
index_sequentially,std-vec,40000,,,151679750.0,ns,5094
index_sequentially,std-vec,40000,,,164060206.0,ns,5660
