group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-balanced,6000,,,41674789.0,ns,788
iterator_next,im-rs-vector-balanced,6000,,,88559646.0,ns,1576
iterator_next,im-rs-vector-balanced,6000,,,132427665.0,ns,2364
iterator_next,im-rs-vector-balanced,6000,,,184943175.0,ns,3152
iterator_next,im-rs-vector-balanced,6000,,,236817416.0,ns,3940
iterator_next,im-rs-vector-balanced,6000,,,292534597.0,ns,4728
iterator_next,im-rs-vector-balanced,6000,,,343320168.0,ns,5516
iterator_next,im-rs-vector-balanced,6000,,,389551285.0,ns,6304
iterator_next,im-rs-vector-balanced,6000,,,431224795.0,ns,7092
iterator_next,im-rs-vector-balanced,6000,,,480346380.0,ns,7880
