group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-balanced,80000,,,42999130.0,ns,60
iterator_next,im-rs-vector-balanced,80000,,,94497340.0,ns,120
iterator_next,im-rs-vector-balanced,80000,,,136877265.0,ns,180
iterator_next,im-rs-vector-balanced,80000,,,185446736.0,ns,240
iterator_next,im-rs-vector-balanced,80000,,,238636026.0,ns,300
iterator_next,im-rs-vector-balanced,80000,,,296334288.0,ns,360
iterator_next,im-rs-vector-balanced,80000,,,328271398.0,ns,420
iterator_next,im-rs-vector-balanced,80000,,,393177573.0,ns,480
iterator_next,im-rs-vector-balanced,80000,,,429911172.0,ns,540
iterator_next,im-rs-vector-balanced,80000,,,501983445.0,ns,600
