group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,im-rs-vector-relaxed,400000,,,48292445.0,ns,12
iterator_next,im-rs-vector-relaxed,400000,,,93716867.0,ns,24
iterator_next,im-rs-vector-relaxed,400000,,,145650283.0,ns,36
iterator_next,im-rs-vector-relaxed,400000,,,196739953.0,ns,48
iterator_next,im-rs-vector-relaxed,400000,,,251085732.0,ns,60
iterator_next,im-rs-vector-relaxed,400000,,,294610580.0,ns,72
iterator_next,im-rs-vector-relaxed,400000,,,355287811.0,ns,84
iterator_next,im-rs-vector-relaxed,400000,,,412012284.0,ns,96
iterator_next,im-rs-vector-relaxed,400000,,,452083037.0,ns,108
iterator_next,im-rs-vector-relaxed,400000,,,523155011.0,ns,120
