group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
iterator_next,rbvec,1000,,,50436612.0,ns,5412
iterator_next,rbvec,1000,,,95640361.0,ns,10824
iterator_next,rbvec,1000,,,140529911.0,ns,16236
iterator_next,rbvec,1000,,,199081076.0,ns,21648
iterator_next,rbvec,1000,,,240994871.0,ns,27060
iterator_next,rbvec,1000,,,301950376.0,ns,32472
iterator_next,rbvec,1000,,,361404880.0,ns,37884
iterator_next,rbvec,1000,,,395640089.0,ns,43296
iterator_next,rbvec,1000,,,460573579.0,ns,48708
iterator_next,rbvec,1000,,,486317202.0,ns,54120
