group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-balanced,10000,,,40003682.0,ns,491
pop,im-rs-vector-balanced,10000,,,83131673.0,ns,982
pop,im-rs-vector-balanced,10000,,,129094680.0,ns,1473
pop,im-rs-vector-balanced,10000,,,167955065.0,ns,1964
pop,im-rs-vector-balanced,10000,,,223008114.0,ns,2455
pop,im-rs-vector-balanced,10000,,,261920209.0,ns,2946
pop,im-rs-vector-balanced,10000,,,311183870.0,ns,3437
pop,im-rs-vector-balanced,10000,,,361011841.0,ns,3928
pop,im-rs-vector-balanced,10000,,,406485981.0,ns,4419
pop,im-rs-vector-balanced,10000,,,455188095.0,ns,4910
