group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-balanced,600,,,31310282.0,ns,6846
pop,im-rs-vector-balanced,600,,,60770447.0,ns,13692
pop,im-rs-vector-balanced,600,,,93920145.0,ns,20538
pop,im-rs-vector-balanced,600,,,136432799.0,ns,27384
pop,im-rs-vector-balanced,600,,,165836263.0,ns,34230
pop,im-rs-vector-balanced,600,,,210668279.0,ns,41076
pop,im-rs-vector-balanced,600,,,245099701.0,ns,47922
pop,im-rs-vector-balanced,600,,,285633618.0,ns,54768
pop,im-rs-vector-balanced,600,,,332001668.0,ns,61614
pop,im-rs-vector-balanced,600,,,376420665.0,ns,68460
