group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-relaxed,1000,,,27421486.0,ns,3441
pop,im-rs-vector-relaxed,1000,,,51184820.0,ns,6882
pop,im-rs-vector-relaxed,1000,,,77762778.0,ns,10323
pop,im-rs-vector-relaxed,1000,,,107756703.0,ns,13764
pop,im-rs-vector-relaxed,1000,,,139366569.0,ns,17205
pop,im-rs-vector-relaxed,1000,,,175564867.0,ns,20646
pop,im-rs-vector-relaxed,1000,,,204721856.0,ns,24087
pop,im-rs-vector-relaxed,1000,,,237182794.0,ns,27528
pop,im-rs-vector-relaxed,1000,,,269533935.0,ns,30969
pop,im-rs-vector-relaxed,1000,,,301717066.0,ns,34410
