group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,im-rs-vector-relaxed,4000,,,33598694.0,ns,939
pop,im-rs-vector-relaxed,4000,,,65647640.0,ns,1878
pop,im-rs-vector-relaxed,4000,,,95555115.0,ns,2817
pop,im-rs-vector-relaxed,4000,,,128386769.0,ns,3756
pop,im-rs-vector-relaxed,4000,,,163802405.0,ns,4695
pop,im-rs-vector-relaxed,4000,,,206005079.0,ns,5634
pop,im-rs-vector-relaxed,4000,,,243129748.0,ns,6573
pop,im-rs-vector-relaxed,4000,,,273478540.0,ns,7512
pop,im-rs-vector-relaxed,4000,,,304759222.0,ns,8451
pop,im-rs-vector-relaxed,4000,,,342771181.0,ns,9390
