group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop,pvec-std,6000,,,38492253.0,ns,3528
pop,pvec-std,6000,,,74372954.0,ns,7056
pop,pvec-std,6000,,,112269276.0,ns,10584
pop,pvec-std,6000,,,155221327.0,ns,14112
pop,pvec-std,6000,,,187854340.0,ns,17640
pop,pvec-std,6000,,,226151239.0,ns,21168
pop,pvec-std,6000,,,264815638.0,ns,24696
pop,pvec-std,6000,,,302503613.0,ns,28224
pop,pvec-std,6000,,,341188902.0,ns,31752
pop,pvec-std,6000,,,379416054.0,ns,35280
