group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,im-rs-vector-balanced,1000,,,81399778.0,ns,616
pop_clone,im-rs-vector-balanced,1000,,,163475607.0,ns,1232
pop_clone,im-rs-vector-balanced,1000,,,244273131.0,ns,1848
pop_clone,im-rs-vector-balanced,1000,,,329026020.0,ns,2464
pop_clone,im-rs-vector-balanced,1000,,,411992586.0,ns,3080
pop_clone,im-rs-vector-balanced,1000,,,496205837.0,ns,3696
pop_clone,im-rs-vector-balanced,1000,,,572130594.0,ns,4312
pop_clone,im-rs-vector-balanced,1000,,,656566332.0,ns,4928
pop_clone,im-rs-vector-balanced,1000,,,740562732.0,ns,5544
pop_clone,im-rs-vector-balanced,1000,,,824288070.0,ns,6160
