group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,im-rs-vector-balanced,8000,,,85760279.0,ns,75
pop_clone,im-rs-vector-balanced,8000,,,170653233.0,ns,150
pop_clone,im-rs-vector-balanced,8000,,,256451821.0,ns,225
pop_clone,im-rs-vector-balanced,8000,,,343879440.0,ns,300
pop_clone,im-rs-vector-balanced,8000,,,427749042.0,ns,375
pop_clone,im-rs-vector-balanced,8000,,,515817405.0,ns,450
pop_clone,im-rs-vector-balanced,8000,,,603151144.0,ns,525
pop_clone,im-rs-vector-balanced,8000,,,688020871.0,ns,600
pop_clone,im-rs-vector-balanced,8000,,,768119975.0,ns,675
pop_clone,im-rs-vector-balanced,8000,,,857611739.0,ns,750
