group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,im-rs-vector-relaxed,20000,,,79534694.0,ns,29
pop_clone,im-rs-vector-relaxed,20000,,,159506700.0,ns,58
pop_clone,im-rs-vector-relaxed,20000,,,241730082.0,ns,87
pop_clone,im-rs-vector-relaxed,20000,,,324065785.0,ns,116
pop_clone,im-rs-vector-relaxed,20000,,,406215391.0,ns,145
pop_clone,im-rs-vector-relaxed,20000,,,487511842.0,ns,174
pop_clone,im-rs-vector-relaxed,20000,,,567299650.0,ns,203
pop_clone,im-rs-vector-relaxed,20000,,,651717604.0,ns,232
pop_clone,im-rs-vector-relaxed,20000,,,732356262.0,ns,261
pop_clone,im-rs-vector-relaxed,20000,,,813431819.0,ns,290
