group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,im-rs-vector-relaxed,6000,,,78469142.0,ns,96
pop_clone,im-rs-vector-relaxed,6000,,,158766055.0,ns,192
pop_clone,im-rs-vector-relaxed,6000,,,241863672.0,ns,288
pop_clone,im-rs-vector-relaxed,6000,,,321850849.0,ns,384
pop_clone,im-rs-vector-relaxed,6000,,,407419067.0,ns,480
pop_clone,im-rs-vector-relaxed,6000,,,486308434.0,ns,576
pop_clone,im-rs-vector-relaxed,6000,,,567271570.0,ns,672
pop_clone,im-rs-vector-relaxed,6000,,,645724295.0,ns,768
pop_clone,im-rs-vector-relaxed,6000,,,726177699.0,ns,864
pop_clone,im-rs-vector-relaxed,6000,,,812624101.0,ns,960
