group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-rrbvec-balanced,10000,,,79698965.0,ns,117
pop_clone,pvec-rrbvec-balanced,10000,,,159062137.0,ns,234
pop_clone,pvec-rrbvec-balanced,10000,,,239580662.0,ns,351
pop_clone,pvec-rrbvec-balanced,10000,,,320036169.0,ns,468
pop_clone,pvec-rrbvec-balanced,10000,,,401707255.0,ns,585
pop_clone,pvec-rrbvec-balanced,10000,,,484779611.0,ns,702
pop_clone,pvec-rrbvec-balanced,10000,,,564372649.0,ns,819
pop_clone,pvec-rrbvec-balanced,10000,,,656544378.0,ns,936
pop_clone,pvec-rrbvec-balanced,10000,,,731618117.0,ns,1053
pop_clone,pvec-rrbvec-balanced,10000,,,822301748.0,ns,1170
