group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-rrbvec-relaxed,400,,,64729363.0,ns,2780
pop_clone,pvec-rrbvec-relaxed,400,,,147685354.0,ns,5560
pop_clone,pvec-rrbvec-relaxed,400,,,196646361.0,ns,8340
pop_clone,pvec-rrbvec-relaxed,400,,,261957826.0,ns,11120
pop_clone,pvec-rrbvec-relaxed,400,,,335654586.0,ns,13900
pop_clone,pvec-rrbvec-relaxed,400,,,395674010.0,ns,16680
pop_clone,pvec-rrbvec-relaxed,400,,,463333480.0,ns,19460
pop_clone,pvec-rrbvec-relaxed,400,,,538321152.0,ns,22240
pop_clone,pvec-rrbvec-relaxed,400,,,632222204.0,ns,25020
pop_clone,pvec-rrbvec-relaxed,400,,,673340480.0,ns,27800
