group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,pvec-std,8000,,,87282606.0,ns,160
pop_clone,pvec-std,8000,,,173540667.0,ns,320
pop_clone,pvec-std,8000,,,260313738.0,ns,480
pop_clone,pvec-std,8000,,,347278911.0,ns,640
pop_clone,pvec-std,8000,,,430759562.0,ns,800
pop_clone,pvec-std,8000,,,519188608.0,ns,960
pop_clone,pvec-std,8000,,,614862094.0,ns,1120
pop_clone,pvec-std,8000,,,698822341.0,ns,1280
pop_clone,pvec-std,8000,,,776682543.0,ns,1440
pop_clone,pvec-std,8000,,,861810185.0,ns,1600
