group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,rbvec,60,,,75908047.0,ns,35528
pop_clone,rbvec,60,,,152648176.0,ns,71056
pop_clone,rbvec,60,,,228355358.0,ns,106584
pop_clone,rbvec,60,,,305617667.0,ns,142112
pop_clone,rbvec,60,,,381812133.0,ns,177640
pop_clone,rbvec,60,,,461574897.0,ns,213168
pop_clone,rbvec,60,,,552917163.0,ns,248696
pop_clone,rbvec,60,,,640310638.0,ns,284224
pop_clone,rbvec,60,,,741346063.0,ns,319752
pop_clone,rbvec,60,,,798423658.0,ns,355280
