group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,rrbvec,600,,,57455290.0,ns,2289
pop_clone,rrbvec,600,,,117166068.0,ns,4578
pop_clone,rrbvec,600,,,177455128.0,ns,6867
pop_clone,rrbvec,600,,,234913788.0,ns,9156
pop_clone,rrbvec,600,,,297141877.0,ns,11445
pop_clone,rrbvec,600,,,355329462.0,ns,13734
pop_clone,rrbvec,600,,,416842555.0,ns,16023
pop_clone,rrbvec,600,,,475100616.0,ns,18312
pop_clone,rrbvec,600,,,546633006.0,ns,20601
pop_clone,rrbvec,600,,,620982495.0,ns,22890
