group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pop_clone,std-vec,4000,,,89149390.0,ns,69
pop_clone,std-vec,4000,,,176263262.0,ns,138
pop_clone,std-vec,4000,,,264205351.0,ns,207
pop_clone,std-vec,4000,,,354392626.0,ns,276
pop_clone,std-vec,4000,,,449169027.0,ns,345
pop_clone,std-vec,4000,,,530592274.0,ns,414
pop_clone,std-vec,4000,,,615428674.0,ns,483
pop_clone,std-vec,4000,,,703695141.0,ns,552
pop_clone,std-vec,4000,,,795166525.0,ns,621
pop_clone,std-vec,4000,,,879622093.0,ns,690
