group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,im-rs-vector-balanced,100000,,,90628537.0,ns,115
push,im-rs-vector-balanced,100000,,,180580655.0,ns,230
push,im-rs-vector-balanced,100000,,,270783486.0,ns,345
push,im-rs-vector-balanced,100000,,,360989580.0,ns,460
push,im-rs-vector-balanced,100000,,,453697108.0,ns,575
push,im-rs-vector-balanced,100000,,,552419092.0,ns,690
push,im-rs-vector-balanced,100000,,,644638763.0,ns,805
push,im-rs-vector-balanced,100000,,,731899488.0,ns,920
push,im-rs-vector-balanced,100000,,,836464792.0,ns,1035
push,im-rs-vector-balanced,100000,,,918740257.0,ns,1150
