group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-rrbvec-balanced,60000,,,90241282.0,ns,222
push,pvec-rrbvec-balanced,60000,,,181635748.0,ns,444
push,pvec-rrbvec-balanced,60000,,,275200961.0,ns,666
push,pvec-rrbvec-balanced,60000,,,362037950.0,ns,888
push,pvec-rrbvec-balanced,60000,,,457253439.0,ns,1110
push,pvec-rrbvec-balanced,60000,,,546602990.0,ns,1332
push,pvec-rrbvec-balanced,60000,,,641202718.0,ns,1554
push,pvec-rrbvec-balanced,60000,,,758469001.0,ns,1776
push,pvec-rrbvec-balanced,60000,,,842719761.0,ns,1998
push,pvec-rrbvec-balanced,60000,,,914015536.0,ns,2220
