group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-std,20000,,,87720814.0,ns,3411
push,pvec-std,20000,,,174748211.0,ns,6822
push,pvec-std,20000,,,262009986.0,ns,10233
push,pvec-std,20000,,,349430761.0,ns,13644
push,pvec-std,20000,,,437231001.0,ns,17055
push,pvec-std,20000,,,525134086.0,ns,20466
push,pvec-std,20000,,,613023333.0,ns,23877
push,pvec-std,20000,,,704497781.0,ns,27288
push,pvec-std,20000,,,792280731.0,ns,30699
push,pvec-std,20000,,,878475442.0,ns,34110
