group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,pvec-std,600,,,90704037.0,ns,68399
push,pvec-std,600,,,187186999.0,ns,136798
push,pvec-std,600,,,262225315.0,ns,205197
push,pvec-std,600,,,345670428.0,ns,273596
push,pvec-std,600,,,444494272.0,ns,341995
push,pvec-std,600,,,518262615.0,ns,410394
push,pvec-std,600,,,594473930.0,ns,478793
push,pvec-std,600,,,693622118.0,ns,547192
push,pvec-std,600,,,786536596.0,ns,615591
push,pvec-std,600,,,868187470.0,ns,683990
