group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,std-vec,1000000,,,103967071.0,ns,56
push,std-vec,1000000,,,206348116.0,ns,112
push,std-vec,1000000,,,309346611.0,ns,168
push,std-vec,1000000,,,412560569.0,ns,224
push,std-vec,1000000,,,524573423.0,ns,280
push,std-vec,1000000,,,546496499.0,ns,336
push,std-vec,1000000,,,623415475.0,ns,392
push,std-vec,1000000,,,712777799.0,ns,448
push,std-vec,1000000,,,801665581.0,ns,504
push,std-vec,1000000,,,890137369.0,ns,560
