group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push,std-vec,600,,,89032321.0,ns,49507
push,std-vec,600,,,187245010.0,ns,99014
push,std-vec,600,,,280616238.0,ns,148521
push,std-vec,600,,,352983351.0,ns,198028
push,std-vec,600,,,420640888.0,ns,247535
push,std-vec,600,,,528094250.0,ns,297042
push,std-vec,600,,,629683568.0,ns,346549
push,std-vec,600,,,706646438.0,ns,396056
push,std-vec,600,,,766761905.0,ns,445563
push,std-vec,600,,,837078477.0,ns,495070
