group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,im-rs-vector-balanced,6000,,,107263434.0,ns,110
push_clone,im-rs-vector-balanced,6000,,,187410319.0,ns,220
push_clone,im-rs-vector-balanced,6000,,,282133519.0,ns,330
push_clone,im-rs-vector-balanced,6000,,,357000800.0,ns,440
push_clone,im-rs-vector-balanced,6000,,,446945824.0,ns,550
push_clone,im-rs-vector-balanced,6000,,,545159121.0,ns,660
push_clone,im-rs-vector-balanced,6000,,,642793397.0,ns,770
push_clone,im-rs-vector-balanced,6000,,,719615550.0,ns,880
push_clone,im-rs-vector-balanced,6000,,,808174722.0,ns,990
push_clone,im-rs-vector-balanced,6000,,,891628350.0,ns,1100
