group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,pvec-rrbvec-balanced,200,,,88296072.0,ns,10103
push_clone,pvec-rrbvec-balanced,200,,,175932456.0,ns,20206
push_clone,pvec-rrbvec-balanced,200,,,263832805.0,ns,30309
push_clone,pvec-rrbvec-balanced,200,,,354876367.0,ns,40412
push_clone,pvec-rrbvec-balanced,200,,,441012343.0,ns,50515
push_clone,pvec-rrbvec-balanced,200,,,528735758.0,ns,60618
push_clone,pvec-rrbvec-balanced,200,,,620686846.0,ns,70721
push_clone,pvec-rrbvec-balanced,200,,,710447168.0,ns,80824
push_clone,pvec-rrbvec-balanced,200,,,848889250.0,ns,90927
push_clone,pvec-rrbvec-balanced,200,,,940044331.0,ns,101030
