group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone,rbvec,100,,,88926652.0,ns,28350
push_clone,rbvec,100,,,183102392.0,ns,56700
push_clone,rbvec,100,,,317153418.0,ns,85050
push_clone,rbvec,100,,,365700768.0,ns,113400
push_clone,rbvec,100,,,449618947.0,ns,141750
push_clone,rbvec,100,,,539669105.0,ns,170100
push_clone,rbvec,100,,,647786143.0,ns,198450
push_clone,rbvec,100,,,725447930.0,ns,226800
push_clone,rbvec,100,,,805189639.0,ns,255150
push_clone,rbvec,100,,,925993034.0,ns,283500
