group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,im-rs-vector-relaxed,400,,,77645981.0,ns,1412
push_clone_relaxed,im-rs-vector-relaxed,400,,,153124481.0,ns,2824
push_clone_relaxed,im-rs-vector-relaxed,400,,,228058133.0,ns,4236
push_clone_relaxed,im-rs-vector-relaxed,400,,,307476007.0,ns,5648
push_clone_relaxed,im-rs-vector-relaxed,400,,,380788223.0,ns,7060
push_clone_relaxed,im-rs-vector-relaxed,400,,,462503789.0,ns,8472
push_clone_relaxed,im-rs-vector-relaxed,400,,,539360802.0,ns,9884
push_clone_relaxed,im-rs-vector-relaxed,400,,,614339702.0,ns,11296
push_clone_relaxed,im-rs-vector-relaxed,400,,,695151827.0,ns,12708
push_clone_relaxed,im-rs-vector-relaxed,400,,,771304301.0,ns,14120
