group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,im-rs-vector-relaxed,800,,,75457015.0,ns,699
push_clone_relaxed,im-rs-vector-relaxed,800,,,151599116.0,ns,1398
push_clone_relaxed,im-rs-vector-relaxed,800,,,227192121.0,ns,2097
push_clone_relaxed,im-rs-vector-relaxed,800,,,306003905.0,ns,2796
push_clone_relaxed,im-rs-vector-relaxed,800,,,380457860.0,ns,3495
push_clone_relaxed,im-rs-vector-relaxed,800,,,456855885.0,ns,4194
push_clone_relaxed,im-rs-vector-relaxed,800,,,535967102.0,ns,4893
push_clone_relaxed,im-rs-vector-relaxed,800,,,610908484.0,ns,5592
push_clone_relaxed,im-rs-vector-relaxed,800,,,687888193.0,ns,6291
push_clone_relaxed,im-rs-vector-relaxed,800,,,767301449.0,ns,6990
