group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-rrbvec-balanced,400,,,68856270.0,ns,2960
push_clone_relaxed,pvec-rrbvec-balanced,400,,,137351369.0,ns,5920
push_clone_relaxed,pvec-rrbvec-balanced,400,,,205292702.0,ns,8880
push_clone_relaxed,pvec-rrbvec-balanced,400,,,273266463.0,ns,11840
push_clone_relaxed,pvec-rrbvec-balanced,400,,,340937561.0,ns,14800
push_clone_relaxed,pvec-rrbvec-balanced,400,,,405059408.0,ns,17760
push_clone_relaxed,pvec-rrbvec-balanced,400,,,473610266.0,ns,20720
push_clone_relaxed,pvec-rrbvec-balanced,400,,,540562198.0,ns,23680
push_clone_relaxed,pvec-rrbvec-balanced,400,,,609229281.0,ns,26640
push_clone_relaxed,pvec-rrbvec-balanced,400,,,680330367.0,ns,29600
