group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,pvec-std,600,,,72163825.0,ns,1912
push_clone_relaxed,pvec-std,600,,,147548317.0,ns,3824
push_clone_relaxed,pvec-std,600,,,219623664.0,ns,5736
push_clone_relaxed,pvec-std,600,,,292985762.0,ns,7648
push_clone_relaxed,pvec-std,600,,,366691016.0,ns,9560
push_clone_relaxed,pvec-std,600,,,431713206.0,ns,11472
push_clone_relaxed,pvec-std,600,,,503423972.0,ns,13384
push_clone_relaxed,pvec-std,600,,,577593061.0,ns,15296
push_clone_relaxed,pvec-std,600,,,646304214.0,ns,17208
push_clone_relaxed,pvec-std,600,,,726264510.0,ns,19120
