group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_clone_relaxed,rrbvec,8000,,,63489768.0,ns,167
push_clone_relaxed,rrbvec,8000,,,126475690.0,ns,334
push_clone_relaxed,rrbvec,8000,,,190558467.0,ns,501
push_clone_relaxed,rrbvec,8000,,,251444575.0,ns,668
push_clone_relaxed,rrbvec,8000,,,318347256.0,ns,835
push_clone_relaxed,rrbvec,8000,,,387727634.0,ns,1002
push_clone_relaxed,rrbvec,8000,,,446284170.0,ns,1169
push_clone_relaxed,rrbvec,8000,,,508800312.0,ns,1336
push_clone_relaxed,rrbvec,8000,,,575047687.0,ns,1503
push_clone_relaxed,rrbvec,8000,,,647372650.0,ns,1670
