group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-balanced,600,,,28618001.0,ns,5483
push_relaxed,im-rs-vector-balanced,600,,,54896587.0,ns,10966
push_relaxed,im-rs-vector-balanced,600,,,83627216.0,ns,16449
push_relaxed,im-rs-vector-balanced,600,,,113965766.0,ns,21932
push_relaxed,im-rs-vector-balanced,600,,,141882938.0,ns,27415
push_relaxed,im-rs-vector-balanced,600,,,171132149.0,ns,32898
push_relaxed,im-rs-vector-balanced,600,,,200173178.0,ns,38381
push_relaxed,im-rs-vector-balanced,600,,,234519617.0,ns,43864
push_relaxed,im-rs-vector-balanced,600,,,258194318.0,ns,49347
push_relaxed,im-rs-vector-balanced,600,,,288560000.0,ns,54830
