group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-relaxed,100000,,,29675269.0,ns,33
push_relaxed,im-rs-vector-relaxed,100000,,,56552623.0,ns,66
push_relaxed,im-rs-vector-relaxed,100000,,,85055568.0,ns,99
push_relaxed,im-rs-vector-relaxed,100000,,,113295434.0,ns,132
push_relaxed,im-rs-vector-relaxed,100000,,,141647682.0,ns,165
push_relaxed,im-rs-vector-relaxed,100000,,,170782825.0,ns,198
push_relaxed,im-rs-vector-relaxed,100000,,,199153120.0,ns,231
push_relaxed,im-rs-vector-relaxed,100000,,,230951316.0,ns,264
push_relaxed,im-rs-vector-relaxed,100000,,,258033599.0,ns,297
push_relaxed,im-rs-vector-relaxed,100000,,,283159221.0,ns,330
