group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,im-rs-vector-relaxed,60,,,27199626.0,ns,38523
push_relaxed,im-rs-vector-relaxed,60,,,50959035.0,ns,77046
push_relaxed,im-rs-vector-relaxed,60,,,77437312.0,ns,115569
push_relaxed,im-rs-vector-relaxed,60,,,102697668.0,ns,154092
push_relaxed,im-rs-vector-relaxed,60,,,129048447.0,ns,192615
push_relaxed,im-rs-vector-relaxed,60,,,154941320.0,ns,231138
push_relaxed,im-rs-vector-relaxed,60,,,178549758.0,ns,269661
push_relaxed,im-rs-vector-relaxed,60,,,204050478.0,ns,308184
push_relaxed,im-rs-vector-relaxed,60,,,230154603.0,ns,346707
push_relaxed,im-rs-vector-relaxed,60,,,255757804.0,ns,385230
