group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-rrbvec-balanced,80,,,18259814.0,ns,28992
push_relaxed,pvec-rrbvec-balanced,80,,,34155608.0,ns,57984
push_relaxed,pvec-rrbvec-balanced,80,,,57831582.0,ns,86976
push_relaxed,pvec-rrbvec-balanced,80,,,77001369.0,ns,115968
push_relaxed,pvec-rrbvec-balanced,80,,,106922869.0,ns,144960
push_relaxed,pvec-rrbvec-balanced,80,,,115357107.0,ns,173952
push_relaxed,pvec-rrbvec-balanced,80,,,134898755.0,ns,202944
push_relaxed,pvec-rrbvec-balanced,80,,,166001604.0,ns,231936
push_relaxed,pvec-rrbvec-balanced,80,,,196576055.0,ns,260928
push_relaxed,pvec-rrbvec-balanced,80,,,217401839.0,ns,289920
