group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-rrbvec-relaxed,60000,,,22408931.0,ns,60
push_relaxed,pvec-rrbvec-relaxed,60000,,,45233673.0,ns,120
push_relaxed,pvec-rrbvec-relaxed,60000,,,67564871.0,ns,180
push_relaxed,pvec-rrbvec-relaxed,60000,,,91018626.0,ns,240
push_relaxed,pvec-rrbvec-relaxed,60000,,,113397270.0,ns,300
push_relaxed,pvec-rrbvec-relaxed,60000,,,136141241.0,ns,360
push_relaxed,pvec-rrbvec-relaxed,60000,,,157627337.0,ns,420
push_relaxed,pvec-rrbvec-relaxed,60000,,,181638197.0,ns,480
push_relaxed,pvec-rrbvec-relaxed,60000,,,203030804.0,ns,540
push_relaxed,pvec-rrbvec-relaxed,60000,,,232241662.0,ns,600
