group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,pvec-std,800,,,26421467.0,ns,15010
push_relaxed,pvec-std,800,,,53566323.0,ns,30020
push_relaxed,pvec-std,800,,,76828971.0,ns,45030
push_relaxed,pvec-std,800,,,103906233.0,ns,60040
push_relaxed,pvec-std,800,,,139572989.0,ns,75050
push_relaxed,pvec-std,800,,,176826162.0,ns,90060
push_relaxed,pvec-std,800,,,216871369.0,ns,105070
push_relaxed,pvec-std,800,,,220699432.0,ns,120080
push_relaxed,pvec-std,800,,,254779279.0,ns,135090
push_relaxed,pvec-std,800,,,303474889.0,ns,150100
