group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rbvec,10000,,,20596016.0,ns,351
push_relaxed,rbvec,10000,,,41115066.0,ns,702
push_relaxed,rbvec,10000,,,61398210.0,ns,1053
push_relaxed,rbvec,10000,,,82244646.0,ns,1404
push_relaxed,rbvec,10000,,,102734181.0,ns,1755
push_relaxed,rbvec,10000,,,123181945.0,ns,2106
push_relaxed,rbvec,10000,,,143784336.0,ns,2457
push_relaxed,rbvec,10000,,,166614733.0,ns,2808
push_relaxed,rbvec,10000,,,185755864.0,ns,3159
push_relaxed,rbvec,10000,,,217715124.0,ns,3510
