group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rbvec,20000,,,20622104.0,ns,176
push_relaxed,rbvec,20000,,,41114583.0,ns,352
push_relaxed,rbvec,20000,,,61412458.0,ns,528
push_relaxed,rbvec,20000,,,82630610.0,ns,704
push_relaxed,rbvec,20000,,,102964004.0,ns,880
push_relaxed,rbvec,20000,,,123730656.0,ns,1056
push_relaxed,rbvec,20000,,,144598366.0,ns,1232
push_relaxed,rbvec,20000,,,164841759.0,ns,1408
push_relaxed,rbvec,20000,,,185853624.0,ns,1584
push_relaxed,rbvec,20000,,,214157683.0,ns,1760
