group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rrbvec,20000,,,19857591.0,ns,162
push_relaxed,rrbvec,20000,,,40174060.0,ns,324
push_relaxed,rrbvec,20000,,,60560825.0,ns,486
push_relaxed,rrbvec,20000,,,80069777.0,ns,648
push_relaxed,rrbvec,20000,,,99537969.0,ns,810
push_relaxed,rrbvec,20000,,,120911627.0,ns,972
push_relaxed,rrbvec,20000,,,139590684.0,ns,1134
push_relaxed,rrbvec,20000,,,160291683.0,ns,1296
push_relaxed,rrbvec,20000,,,180160048.0,ns,1458
push_relaxed,rrbvec,20000,,,200920887.0,ns,1620
