group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,rrbvec,6000,,,16936466.0,ns,469
push_relaxed,rrbvec,6000,,,33991101.0,ns,938
push_relaxed,rrbvec,6000,,,51204388.0,ns,1407
push_relaxed,rrbvec,6000,,,68288890.0,ns,1876
push_relaxed,rrbvec,6000,,,87635930.0,ns,2345
push_relaxed,rrbvec,6000,,,102687061.0,ns,2814
push_relaxed,rrbvec,6000,,,120650207.0,ns,3283
push_relaxed,rrbvec,6000,,,138795455.0,ns,3752
push_relaxed,rrbvec,6000,,,157710038.0,ns,4221
push_relaxed,rrbvec,6000,,,173958837.0,ns,4690
