group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
push_relaxed,std-vec,100000,,,41212033.0,ns,155
push_relaxed,std-vec,100000,,,82928875.0,ns,310
push_relaxed,std-vec,100000,,,125198062.0,ns,465
push_relaxed,std-vec,100000,,,173284518.0,ns,620
push_relaxed,std-vec,100000,,,214189931.0,ns,775
push_relaxed,std-vec,100000,,,255470292.0,ns,930
push_relaxed,std-vec,100000,,,300072440.0,ns,1085
push_relaxed,std-vec,100000,,,337368964.0,ns,1240
push_relaxed,std-vec,100000,,,406012385.0,ns,1395
push_relaxed,std-vec,100000,,,457166018.0,ns,1550
